date_time,maxtempC,mintempC,totalSnow_cm,cloudcover,precipMM
1/1/2010 0:00,4,-1,0.2,100,0
1/1/2010 1:00,4,-1,0.2,93,0
1/1/2010 2:00,4,-1,0.2,86,0.2
1/1/2010 3:00,4,-1,0.2,80,0.2
1/1/2010 4:00,4,-1,0.2,71,0.1
1/1/2010 5:00,4,-1,0.2,63,0
1/1/2010 6:00,4,-1,0.2,55,0
1/1/2010 7:00,4,-1,0.2,52,0
1/1/2010 8:00,4,-1,0.2,50,0
1/1/2010 9:00,4,-1,0.2,48,0
1/1/2010 10:00,4,-1,0.2,57,0
1/1/2010 11:00,4,-1,0.2,67,0
1/1/2010 12:00,4,-1,0.2,76,0
1/1/2010 13:00,4,-1,0.2,82,0
1/1/2010 14:00,4,-1,0.2,88,0
1/1/2010 15:00,4,-1,0.2,94,0
1/1/2010 16:00,4,-1,0.2,96,0
1/1/2010 17:00,4,-1,0.2,98,0.1
1/1/2010 18:00,4,-1,0.2,100,0.1
1/1/2010 19:00,4,-1,0.2,79,0
1/1/2010 20:00,4,-1,0.2,59,0.1
1/1/2010 21:00,4,-1,0.2,38,0.2
1/1/2010 22:00,4,-1,0.2,38,0.1
1/1/2010 23:00,4,-1,0.2,39,0
1/2/2010 0:00,-3,-8,0.2,39,0
1/2/2010 1:00,-3,-8,0.2,55,0
1/2/2010 2:00,-3,-8,0.2,72,0.1
1/2/2010 3:00,-3,-8,0.2,88,0.1
1/2/2010 4:00,-3,-8,0.2,71,0
1/2/2010 5:00,-3,-8,0.2,53,0
1/2/2010 6:00,-3,-8,0.2,35,0
1/2/2010 7:00,-3,-8,0.2,47,0
1/2/2010 8:00,-3,-8,0.2,59,0
1/2/2010 9:00,-3,-8,0.2,71,0
1/2/2010 10:00,-3,-8,0.2,65,0
1/2/2010 11:00,-3,-8,0.2,60,0
1/2/2010 12:00,-3,-8,0.2,55,0
1/2/2010 13:00,-3,-8,0.2,52,0
1/2/2010 14:00,-3,-8,0.2,49,0
1/2/2010 15:00,-3,-8,0.2,45,0
1/2/2010 16:00,-3,-8,0.2,50,0
